web_name,team,position,form,value,now_cost,predicted_value,projection,Z Score,total_rank
Richards,Wolves,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Rose,Spurs,Defender,0.0,0.0,4.7,0.0,0.0,-4.625020085256125,209.0
Sokratis,Arsenal,Defender,0.0,0.0,4.8,0.0,0.0,-4.625020085256125,209.0
Bueno,Wolves,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Christie,Fulham,Defender,0.0,0.0,4.2,0.0,0.0,-4.625020085256125,209.0
Engels,Aston Villa,Defender,0.0,0.0,4.4,0.0,0.0,-4.625020085256125,209.0
Welch,Everton,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Astley,Everton,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
John,Everton,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Branthwaite,Everton,Defender,0.0,0.0,3.9,0.0,0.0,-4.625020085256125,209.0
Hannam,Crystal Palace,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Inniss,Crystal Palace,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Woods,Crystal Palace,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Mawson,Fulham,Defender,0.0,0.0,4.3,0.0,0.0,-4.625020085256125,209.0
Ferguson,Crystal Palace,Defender,0.0,0.0,3.8,0.0,0.0,-4.625020085256125,209.0
Livramento,Chelsea,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Bree,Aston Villa,Defender,0.0,0.0,4.5,0.0,0.0,-4.625020085256125,209.0
Nartey,Burnley,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Driscoll-Glennon,Burnley,Defender,0.0,0.0,3.9,0.0,0.0,-4.625020085256125,209.0
Thomas,Burnley,Defender,0.0,0.0,3.9,0.0,0.0,-4.625020085256125,209.0
Gibson,Burnley,Defender,0.0,0.0,3.9,0.0,0.0,-4.625020085256125,209.0
Karbownik,Brighton,Defender,0.0,0.0,4.5,0.0,0.0,-4.625020085256125,209.0
Clarke,Brighton,Defender,0.0,0.0,4.4,0.0,0.0,-4.625020085256125,209.0
Montoya,Brighton,Defender,0.0,0.0,4.5,0.0,0.0,-4.625020085256125,209.0
Kelly,Crystal Palace,Defender,0.0,0.0,4.1,0.0,0.0,-4.625020085256125,209.0
Duffy,Brighton,Defender,0.0,0.0,4.3,0.0,0.0,-4.625020085256125,209.0
Sessegnon,Fulham,Defender,0.0,0.0,4.3,0.0,0.0,-4.625020085256125,209.0
Daley-Campbell,Leicester,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Gordon,Sheffield Utd,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Watts,Newcastle,Defender,0.0,0.0,3.9,0.0,0.0,-4.625020085256125,209.0
Lejeune,Newcastle,Defender,0.0,0.0,4.3,0.0,0.0,-4.625020085256125,209.0
Mengi,Man Utd,Defender,0.0,0.0,3.9,0.0,0.0,-4.625020085256125,209.0
Dalot,Man Utd,Defender,0.0,0.0,4.8,0.0,0.0,-4.625020085256125,209.0
Saliba,Arsenal,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Jones,Man Utd,Defender,0.0,0.0,4.8,0.0,0.0,-4.625020085256125,209.0
Rojo,Man Utd,Defender,0.0,0.0,4.8,0.0,0.0,-4.625020085256125,209.0
