web_name,team,position,value,projection,now_cost,total_rank,form
Hause,Aston Villa,Defender,6.363636363636363,27.55345002861784,4.4,119.0,0.0
Bryan,Sheffield Utd,Defender,5.128205128205129,18.030922356697822,3.9,120.0,1.6
Pereira,Leicester,Defender,3.559322033898305,23.851076894228644,5.9,121.0,1.6
Marí,Arsenal,Defender,4.545454545454545,18.935205286254423,4.4,122.0,1.5
Johnson,West Ham,Defender,4.871794871794872,12.344838602761245,3.9,123.0,2.0
Manquillo,Newcastle,Defender,5.9523809523809526,24.16115837755596,4.2,124.0,0.0
Jonny,Wolves,Defender,2.5925925925925926,14.905579622667737,5.4,125.0,2.6
Fuchs,Leicester,Defender,5.333333333333333,24.114850104054828,4.5,126.0,0.0
Schär,Newcastle,Defender,5.1020408163265305,25.083019389005177,4.9,127.0,0.0
Mendy,Man City,Defender,4.23728813559322,27.36405730247742,5.9,128.0,0.1
Telles,Man Utd,Defender,4.0740740740740735,23.363315649086463,5.4,129.0,0.0
Ivanovic,West Brom,Defender,4.3181818181818175,19.366022871690983,4.4,130.0,0.2
Aké,Man City,Defender,3.888888888888889,21.265446124686274,5.4,131.0,0.0
Marçal,Wolves,Defender,3.829787234042553,17.516697478509993,4.7,132.0,0.4
Llorente,Leeds,Defender,2.2727272727272725,10.516761621789767,4.4,133.0,1.8
Dummett,Newcastle,Defender,2.5,10.846976050474597,4.4,134.0,1.5
Long,Burnley,Defender,3.255813953488372,13.119507026590357,4.3,135.0,0.5
Kabak,Liverpool,Defender,1.6,8.525512446565918,5.0,136.0,1.6
Tomkins,Crystal Palace,Defender,3.4090909090909087,13.89386596842238,4.4,137.0,0.0
Bryan,Fulham,Defender,2.8260869565217392,12.848494315784306,4.6,138.0,0.2
van Dijk,Liverpool,Defender,2.4193548387096775,16.529396328214585,6.2,139.0,0.0
Rodon,Spurs,Defender,2.8,14.359930314234044,5.0,140.0,0.0
Jack Robinson,Sheffield Utd,Defender,3.095238095238095,12.392023225183973,4.2,141.0,0.0
Yedlin,Newcastle,Defender,3.0232558139534884,12.466290550270736,4.3,142.0,0.0
Neco Williams,Liverpool,Defender,2.6315789473684212,9.427457452521802,3.8,143.0,0.4
Gomez,Liverpool,Defender,1.923076923076923,13.048323069624312,5.2,144.0,0.0
Salisu,Southampton,Defender,1.3953488372093024,5.6830033054616935,4.3,145.0,1.0
Hoever,Wolves,Defender,2.0454545454545454,8.216399952535768,4.4,146.0,0.2
Lowe,Sheffield Utd,Defender,2.0930232558139537,8.472531014954596,4.3,147.0,0.0
Dunne,Burnley,Defender,2.1052631578947367,7.464384195016256,3.8,148.0,0.0
Ream,Fulham,Defender,1.6666666666666665,6.9522505495833515,4.2,149.0,0.0
Jagielka,Sheffield Utd,Defender,1.2820512820512822,4.9343027406814,3.9,150.0,0.4
Rhys Williams,Liverpool,Defender,1.25,5.074483132559783,4.0,151.0,0.4
Emerson,Chelsea,Defender,1.4893617021276595,6.97321934641487,4.7,152.0,0.0
Hegazi,West Brom,Defender,1.4634146341463417,5.704328850223791,4.1,153.0,0.0
Thomas,Leicester,Defender,1.1904761904761905,5.14208269912315,4.2,154.0,0.2
Bernardo,Brighton,Defender,1.2820512820512822,5.004287720912451,3.9,155.0,0.0
Gibbs,West Brom,Defender,1.1627906976744187,5.321459457611627,4.3,156.0,0.0
Kenny,Everton,Defender,1.1627906976744187,5.11661712775563,4.3,157.0,0.0
Chambers,Arsenal,Defender,0.4444444444444444,1.9773151078613214,4.5,158.0,0.5
Sakho,Crystal Palace,Defender,0.9090909090909091,3.829018304057177,4.4,159.0,0.0
Tanganga,Spurs,Defender,0.4081632653061224,2.0966512476478254,4.9,160.0,0.4
Morgan,Leicester,Defender,0.6818181818181818,2.9359734219269136,4.4,161.0,0.0
Garcia,Man City,Defender,0.6382978723404255,3.0662740806259134,4.7,162.0,0.0
Peltier,West Brom,Defender,0.5,1.8168224700533755,4.0,163.0,0.2
Valery,Southampton,Defender,0.6382978723404255,3.0443143113623217,4.7,164.0,0.0
O'Connell,Sheffield Utd,Defender,0.6382978723404255,3.0202080841639027,4.7,165.0,0.0
Bardsley,Burnley,Defender,0.45454545454545453,2.005154113927379,4.4,166.0,0.2
Williams,Man Utd,Defender,0.47619047619047616,1.824848443751025,4.2,167.0,0.2
Mustafi,Arsenal,Defender,0.6,3.116071405961312,5.0,168.0,0.0
Davis,Leeds,Defender,0.5128205128205129,1.9213969101174568,3.9,169.0,0.0
Tuanzebe,Man Utd,Defender,0.47619047619047616,1.9533348723020385,4.2,170.0,0.0
Kolasinac,Arsenal,Defender,0.4166666666666667,2.049882352941172,4.8,171.0,0.0
Vokins,Southampton,Defender,0.25641025641025644,0.9541037004024513,3.9,172.0,0.0
Nkounkou,Everton,Defender,0.25,0.9818294531732026,4.0,173.0,0.0
Buur,Wolves,Defender,0.25641025641025644,0.9484342591845684,3.9,174.0,0.0
Le Marchand,Fulham,Defender,0.24390243902439027,0.9719770050355034,4.1,175.0,0.0
Vinagre,Wolves,Defender,0.24390243902439027,0.9342351019949579,4.1,176.0,0.0
Odoi,Fulham,Defender,0.23809523809523808,0.952302004981625,4.2,177.0,0.0
Tsimikas,Liverpool,Defender,0.2040816326530612,1.0801600779252925,4.9,178.0,0.0
Marques,Wolves,Defender,0.0,0.0,3.9,207.0,0.0
Sessegnon,Spurs,Defender,0.0,0.0,4.7,207.0,0.0
Alves,West Ham,Defender,0.0,0.0,4.0,207.0,0.0
Bennett,Wolves,Defender,0.0,0.0,4.4,207.0,0.0
Baptiste,West Ham,Defender,0.0,0.0,4.0,207.0,0.0
Kipre,West Brom,Defender,0.0,0.0,4.3,207.0,0.0
Carter-Vickers,Spurs,Defender,0.0,0.0,3.9,207.0,0.0
Foyth,Spurs,Defender,0.0,0.0,4.3,207.0,0.0
Richards,Wolves,Defender,0.0,0.0,4.0,207.0,0.0
Rose,Spurs,Defender,0.0,0.0,4.7,207.0,0.0
Sokratis,Arsenal,Defender,0.0,0.0,4.8,207.0,0.0
Christie,Fulham,Defender,0.0,0.0,4.2,207.0,0.0
John,Everton,Defender,0.0,0.0,4.0,207.0,0.0
Branthwaite,Everton,Defender,0.0,0.0,3.9,207.0,0.0
Hannam,Crystal Palace,Defender,0.0,0.0,4.0,207.0,0.0
Inniss,Crystal Palace,Defender,0.0,0.0,4.0,207.0,0.0
Woods,Crystal Palace,Defender,0.0,0.0,4.0,207.0,0.0
Ferguson,Crystal Palace,Defender,0.0,0.0,3.8,207.0,0.0
Kelly,Crystal Palace,Defender,0.0,0.0,4.1,207.0,0.0
Tomori,Chelsea,Defender,0.0,0.0,4.7,207.0,0.0
Nartey,Burnley,Defender,0.0,0.0,4.0,207.0,0.0
Astley,Everton,Defender,0.0,0.0,4.0,207.0,0.0
Driscoll-Glennon,Burnley,Defender,0.0,0.0,4.0,207.0,0.0
Gibson,Burnley,Defender,0.0,0.0,3.9,207.0,0.0
Karbownik,Brighton,Defender,0.0,0.0,4.5,207.0,0.0
Clarke,Brighton,Defender,0.0,0.0,4.4,207.0,0.0
Montoya,Brighton,Defender,0.0,0.0,4.5,207.0,0.0
Duffy,Brighton,Defender,0.0,0.0,4.3,207.0,0.0
Guilbert,Aston Villa,Defender,0.0,0.0,4.3,207.0,0.0
Bree,Aston Villa,Defender,0.0,0.0,4.5,207.0,0.0
Engels,Aston Villa,Defender,0.0,0.0,4.4,207.0,0.0
Saliba,Arsenal,Defender,0.0,0.0,4.0,207.0,0.0
Thomas,Burnley,Defender,0.0,0.0,3.9,207.0,0.0
Tchaptchet,Southampton,Defender,0.0,0.0,4.0,207.0,0.0
Bueno,Wolves,Defender,0.0,0.0,4.0,207.0,0.0
Sessegnon,Fulham,Defender,0.0,0.0,4.3,207.0,0.0
Gordon,Sheffield Utd,Defender,0.0,0.0,4.0,207.0,0.0
